,Source,Target,Wght,Qual,AbsWeight
0,Ea,Pa,1.29805946312783,1.0,1.29805946312783
1,Pa,Ea,0.6466107766772599,1.0,0.6466107766772599
0,Ea,Pch,1.58927036123623,1.0,1.58927036123623
1,Pch,Ea,0.729330044235777,1.0,0.729330044235777
0,Ea,Pci,2.154735371436871,1.0,2.154735371436871
1,Pci,Ea,-1.4352354336159021,-1.0,1.4352354336159021
0,Ea,Pf,0.28721506211217024,1.0,0.28721506211217024
1,Pf,Ea,0.6586551709590732,1.0,0.6586551709590732
0,Ea,Pp,-0.023685468954709295,-1.0,0.023685468954709295
1,Pp,Ea,1.098376333247477,1.0,1.098376333247477
0,Ea,Pv,0.10209313474556027,1.0,0.10209313474556027
1,Pv,Ea,0.4279355078239342,1.0,0.4279355078239342
0,Ea,Sm,2.1009614816258484,1.0,2.1009614816258484
1,Sm,Ea,-0.6810935489441547,-1.0,0.6810935489441547
0,Pa,Pch,-0.8890674609416576,-1.0,0.8890674609416576
1,Pch,Pa,1.12229962281017,1.0,1.12229962281017
0,Pa,Pci,1.0347888483019265,1.0,1.0347888483019265
1,Pci,Pa,-2.481204232318305,-1.0,2.481204232318305
0,Pa,Pf,0.33030825996378566,1.0,0.33030825996378566
1,Pf,Pa,-0.26445562599125916,-1.0,0.26445562599125916
0,Pa,Pp,0.5671590404010094,1.0,0.5671590404010094
1,Pp,Pa,0.917762389265175,1.0,0.917762389265175
0,Pa,Pv,2.6331247757976737,1.0,2.6331247757976737
1,Pv,Pa,1.3603850834407307,1.0,1.3603850834407307
0,Pa,Sm,0.630484986715173,1.0,0.630484986715173
1,Sm,Pa,0.43487537408062393,1.0,0.43487537408062393
0,Pch,Pci,1.010309019036261,1.0,1.010309019036261
1,Pci,Pch,-2.5772373475600117,-1.0,2.5772373475600117
0,Pch,Pf,0.3399043681677255,1.0,0.3399043681677255
1,Pf,Pch,-0.616150981738525,-1.0,0.616150981738525
0,Pch,Pp,0.435285607299714,1.0,0.435285607299714
1,Pp,Pch,0.5194995422282833,1.0,0.5194995422282833
0,Pch,Pv,0.6315249701229598,1.0,0.6315249701229598
1,Pv,Pch,1.5471499380345841,1.0,1.5471499380345841
0,Pch,Sm,0.7547860747435481,1.0,0.7547860747435481
1,Sm,Pch,0.5118371336027899,1.0,0.5118371336027899
0,Pci,Pf,-1.505676511303492,-1.0,1.505676511303492
1,Pf,Pci,0.04542426357903889,1.0,0.04542426357903889
0,Pci,Pp,-2.406727685016468,-1.0,2.406727685016468
1,Pp,Pci,2.3340993759469524,1.0,2.3340993759469524
0,Pci,Pv,-2.5625084165029777,-1.0,2.5625084165029777
1,Pv,Pci,1.5080871714527109,1.0,1.5080871714527109
0,Pci,Sm,-1.0160300267488016,-1.0,1.0160300267488016
1,Sm,Pci,0.9600850227572904,1.0,0.9600850227572904
0,Pf,Pp,0.6456898849142013,1.0,0.6456898849142013
1,Pp,Pf,0.519474394285798,1.0,0.519474394285798
0,Pf,Pv,0.7948660940152633,1.0,0.7948660940152633
1,Pv,Pf,0.6786204859045645,1.0,0.6786204859045645
0,Pf,Sm,2.343934183181746,1.0,2.343934183181746
1,Sm,Pf,0.1716249438940082,1.0,0.1716249438940082
0,Pp,Pv,1.4422333289769775,1.0,1.4422333289769775
1,Pv,Pp,-0.5492507075778946,-1.0,0.5492507075778946
0,Pp,Sm,2.6344490910012657,1.0,2.6344490910012657
1,Sm,Pp,-0.6763824922780688,-1.0,0.6763824922780688
0,Pv,Sm,1.152480224939805,1.0,1.152480224939805
1,Sm,Pv,0.22965348572431893,1.0,0.22965348572431893
