"SUID","AbsWeight","BEND_MAP_ID","interaction","name","Qual","selected","shared interaction","shared name","Wght"
"766","0.22965348572431893","212","interacts with","Sm (interacts with) Pv","1.0","false","interacts with","Sm (interacts with) Pv","0.22965348572431893"
"767","0.6763824922780688","213","interacts with","Sm (interacts with) Pp","-1.0","false","interacts with","Sm (interacts with) Pp","-0.6763824922780688"
"768","0.1716249438940082","214","interacts with","Sm (interacts with) Pf","1.0","false","interacts with","Sm (interacts with) Pf","0.1716249438940082"
"769","0.9600850227572904","215","interacts with","Sm (interacts with) Pci","1.0","false","interacts with","Sm (interacts with) Pci","0.9600850227572904"
"770","0.5118371336027899","216","interacts with","Sm (interacts with) Pch","1.0","false","interacts with","Sm (interacts with) Pch","0.5118371336027899"
"771","0.43487537408062393","217","interacts with","Sm (interacts with) Pa","1.0","false","interacts with","Sm (interacts with) Pa","0.43487537408062393"
"772","0.6810935489441547","218","interacts with","Sm (interacts with) Ea","-1.0","false","interacts with","Sm (interacts with) Ea","-0.6810935489441547"
"773","1.152480224939805","219","interacts with","Pv (interacts with) Sm","1.0","false","interacts with","Pv (interacts with) Sm","1.152480224939805"
"774","0.5492507075778946","220","interacts with","Pv (interacts with) Pp","-1.0","false","interacts with","Pv (interacts with) Pp","-0.5492507075778946"
"775","0.6786204859045645","221","interacts with","Pv (interacts with) Pf","1.0","false","interacts with","Pv (interacts with) Pf","0.6786204859045645"
"776","1.5080871714527109","222","interacts with","Pv (interacts with) Pci","1.0","false","interacts with","Pv (interacts with) Pci","1.5080871714527109"
"777","1.5471499380345841","223","interacts with","Pv (interacts with) Pch","1.0","false","interacts with","Pv (interacts with) Pch","1.5471499380345841"
"778","1.3603850834407307","224","interacts with","Pv (interacts with) Pa","1.0","false","interacts with","Pv (interacts with) Pa","1.3603850834407307"
"779","0.4279355078239342","225","interacts with","Pv (interacts with) Ea","1.0","false","interacts with","Pv (interacts with) Ea","0.4279355078239342"
"780","2.6344490910012657","226","interacts with","Pp (interacts with) Sm","1.0","false","interacts with","Pp (interacts with) Sm","2.6344490910012657"
"781","1.4422333289769775","227","interacts with","Pp (interacts with) Pv","1.0","false","interacts with","Pp (interacts with) Pv","1.4422333289769775"
"782","0.519474394285798","228","interacts with","Pp (interacts with) Pf","1.0","false","interacts with","Pp (interacts with) Pf","0.519474394285798"
"783","2.3340993759469524","229","interacts with","Pp (interacts with) Pci","1.0","false","interacts with","Pp (interacts with) Pci","2.3340993759469524"
"784","0.5194995422282833","230","interacts with","Pp (interacts with) Pch","1.0","false","interacts with","Pp (interacts with) Pch","0.5194995422282833"
"785","0.917762389265175","231","interacts with","Pp (interacts with) Pa","1.0","false","interacts with","Pp (interacts with) Pa","0.917762389265175"
"786","1.098376333247477","232","interacts with","Pp (interacts with) Ea","1.0","false","interacts with","Pp (interacts with) Ea","1.098376333247477"
"787","2.343934183181746","233","interacts with","Pf (interacts with) Sm","1.0","false","interacts with","Pf (interacts with) Sm","2.343934183181746"
"788","0.7948660940152633","234","interacts with","Pf (interacts with) Pv","1.0","false","interacts with","Pf (interacts with) Pv","0.7948660940152633"
"789","0.6456898849142013","235","interacts with","Pf (interacts with) Pp","1.0","false","interacts with","Pf (interacts with) Pp","0.6456898849142013"
"790","0.04542426357903889","236","interacts with","Pf (interacts with) Pci","1.0","false","interacts with","Pf (interacts with) Pci","0.04542426357903889"
"791","0.616150981738525","237","interacts with","Pf (interacts with) Pch","-1.0","false","interacts with","Pf (interacts with) Pch","-0.616150981738525"
"792","0.26445562599125916","238","interacts with","Pf (interacts with) Pa","-1.0","false","interacts with","Pf (interacts with) Pa","-0.26445562599125916"
"793","0.6586551709590732","239","interacts with","Pf (interacts with) Ea","1.0","false","interacts with","Pf (interacts with) Ea","0.6586551709590732"
"794","1.0160300267488016","240","interacts with","Pci (interacts with) Sm","-1.0","false","interacts with","Pci (interacts with) Sm","-1.0160300267488016"
"795","2.5625084165029777","241","interacts with","Pci (interacts with) Pv","-1.0","false","interacts with","Pci (interacts with) Pv","-2.5625084165029777"
"796","2.406727685016468","242","interacts with","Pci (interacts with) Pp","-1.0","false","interacts with","Pci (interacts with) Pp","-2.406727685016468"
"797","1.505676511303492","243","interacts with","Pci (interacts with) Pf","-1.0","false","interacts with","Pci (interacts with) Pf","-1.505676511303492"
"798","2.5772373475600117","244","interacts with","Pci (interacts with) Pch","-1.0","false","interacts with","Pci (interacts with) Pch","-2.5772373475600117"
"799","2.481204232318305","245","interacts with","Pci (interacts with) Pa","-1.0","false","interacts with","Pci (interacts with) Pa","-2.481204232318305"
"800","1.4352354336159021","246","interacts with","Pci (interacts with) Ea","-1.0","false","interacts with","Pci (interacts with) Ea","-1.4352354336159021"
"801","0.7547860747435481","247","interacts with","Pch (interacts with) Sm","1.0","false","interacts with","Pch (interacts with) Sm","0.7547860747435481"
"802","0.6315249701229598","248","interacts with","Pch (interacts with) Pv","1.0","false","interacts with","Pch (interacts with) Pv","0.6315249701229598"
"803","0.435285607299714","249","interacts with","Pch (interacts with) Pp","1.0","false","interacts with","Pch (interacts with) Pp","0.435285607299714"
"804","0.3399043681677255","250","interacts with","Pch (interacts with) Pf","1.0","false","interacts with","Pch (interacts with) Pf","0.3399043681677255"
"805","1.010309019036261","251","interacts with","Pch (interacts with) Pci","1.0","false","interacts with","Pch (interacts with) Pci","1.010309019036261"
"806","1.12229962281017","252","interacts with","Pch (interacts with) Pa","1.0","false","interacts with","Pch (interacts with) Pa","1.12229962281017"
"807","0.729330044235777","253","interacts with","Pch (interacts with) Ea","1.0","false","interacts with","Pch (interacts with) Ea","0.729330044235777"
"808","0.630484986715173","254","interacts with","Pa (interacts with) Sm","1.0","false","interacts with","Pa (interacts with) Sm","0.630484986715173"
"809","2.6331247757976737","255","interacts with","Pa (interacts with) Pv","1.0","false","interacts with","Pa (interacts with) Pv","2.6331247757976737"
"810","0.5671590404010094","256","interacts with","Pa (interacts with) Pp","1.0","false","interacts with","Pa (interacts with) Pp","0.5671590404010094"
"811","0.33030825996378566","257","interacts with","Pa (interacts with) Pf","1.0","false","interacts with","Pa (interacts with) Pf","0.33030825996378566"
"812","1.0347888483019265","258","interacts with","Pa (interacts with) Pci","1.0","false","interacts with","Pa (interacts with) Pci","1.0347888483019265"
"813","0.8890674609416576","259","interacts with","Pa (interacts with) Pch","-1.0","false","interacts with","Pa (interacts with) Pch","-0.8890674609416576"
"814","0.6466107766772599","260","interacts with","Pa (interacts with) Ea","1.0","false","interacts with","Pa (interacts with) Ea","0.6466107766772599"
"815","2.1009614816258484","261","interacts with","Ea (interacts with) Sm","1.0","false","interacts with","Ea (interacts with) Sm","2.1009614816258484"
"816","0.10209313474556027","262","interacts with","Ea (interacts with) Pv","1.0","false","interacts with","Ea (interacts with) Pv","0.10209313474556027"
"817","0.023685468954709295","263","interacts with","Ea (interacts with) Pp","-1.0","false","interacts with","Ea (interacts with) Pp","-0.023685468954709295"
"818","0.28721506211217024","264","interacts with","Ea (interacts with) Pf","1.0","false","interacts with","Ea (interacts with) Pf","0.28721506211217024"
"819","2.154735371436871","265","interacts with","Ea (interacts with) Pci","1.0","false","interacts with","Ea (interacts with) Pci","2.154735371436871"
"820","1.58927036123623","266","interacts with","Ea (interacts with) Pch","1.0","false","interacts with","Ea (interacts with) Pch","1.58927036123623"
"821","1.29805946312783","267","interacts with","Ea (interacts with) Pa","1.0","false","interacts with","Ea (interacts with) Pa","1.29805946312783"
