"",Competitors,,,Survival,
species A,species B,species C,species A,species B,species C
Ea,Pa,Sm,1,1,0
Ea,Pch,Pa,1,1,0
Ea,Pch,Sm,1,1,0
Ea,Pf,Sm,1,1,0
Pa,Ea,Pci,1,1,0
Pa,Pf,Pci,1,1,0
Pa,Sm,Pci,1,1,0
Pch,Ea,Pci,1,1,0
Pch,Ea,Pf,1,1,0
Pch,Pp,Pf,1,1,0
Pch,Sm,Pci,1,1,0
Pp,Ea,Pv,1,1,0
Pp,Pa,Pv,1,1,0
Pp,Pa,Sm,1,1,0
Pp,Pch,Pa,1,1,0
Pp,Pf,Pci,1,1,0
Pp,Pf,Pv,1,1,0
Pp,Pf,Sm,1,1,0
Pv,Pch,Pa,1,1,0
Pv,Pf,Pci,1,1,0
Pv,Sm,Pci,1,1,0
Sm,Pch,Pa,1,1,0
Ea,Pci,Sm,1,1,1
Pch,Pv,Pf,1,1,1
Pch,Sm,Pf,1,1,1
Pp,Ea,Pci,1,1,1
Pp,Pch,Pv,0,1,1
"",,,1,1,0
Pp,Pch,Sm,,,
"",,,0,1,1
Ea,Pv,Sm,na,na,na
Pv,Ea,Pci,na,na,na
Pf,Pa,Sm,1,1,1
Pf,Pci,Ea,1,1,1
Pf,Pp,Ea,1,1,1
Pf,Pv,Ea,1,1,1
Pf,Sm,Pci,1,1,1
Pp,Pa,Ea,1,1,1
Pv,Pa,Ea,1,1,1
Pv,Pch,Ea,1,1,1
Pf,Pa,Ea,0,1,1
Pf,Pa,Pp,0,1,1
Pf,Pa,Pv,0,1,1
Pf,Sm,Pv,0,1,1
Pp,Pch,Ea,0,1,1
Sm,Pa,Pv,0,1,1
Sm,Pv,Pch,0,1,1
Pci,Pp,Pa,0,1,1
Pci,Pp,Pch,0,1,1
Pci,Pv,Pa,0,1,1
Pci,Pv,Pch,0,1,1
Sm,Pp,Ea,0,1,1
Pch,Pf,Pci,1,0,0
Pf,Pch,Pa,1,0,0
Pp,Sm,Pci,1,0,0
Pp,Sm,Pv,1,1,1
Pci,Pch,Pa,0,1,0
Pv,Pp,Pci,0,1,0
